---------------- ----------------------------------------------------------------------- --------- ----------
  Package          Name                                                                    Status    Version
 ---------------- ----------------------------------------------------------------------- --------- ----------
  Core             Automated Cron (automated_cron)                                         Enabled   10.4.7
  Web services     HTTP Basic Authentication (basic_auth)                                  Enabled   10.4.7
  Core             BigPipe (big_pipe)                                                      Enabled   10.4.7
  Core             Block (block)                                                           Enabled   10.4.7
  Core             Block Content (block_content)                                           Enabled   10.4.7
  Core             Breakpoint (breakpoint)                                                 Enabled   10.4.7
  Core             CKEditor 5 (ckeditor5)                                                  Enabled   10.4.7
  Core             Comment (comment)                                                       Enabled   10.4.7
  Core             Configuration Manager (config)                                          Enabled   10.4.7
  Core             Contact (contact)                                                       Enabled   10.4.7
  Core             Contextual Links (contextual)                                           Enabled   10.4.7
  Field types      Datetime (datetime)                                                     Enabled   10.4.7
  Core             Database Logging (dblog)                                                Enabled   10.4.7
  Core             Internal Dynamic Page Cache (dynamic_page_cache)                        Enabled   10.4.7
  Core             Text Editor (editor)                                                    Enabled   10.4.7
  Core             Field (field)                                                           Enabled   10.4.7
  Core             Field UI (field_ui)                                                     Enabled   10.4.7
  Field types      File (file)                                                             Enabled   10.4.7
  Core             Filter (filter)                                                         Enabled   10.4.7
  Core             Help (help)                                                             Enabled   10.4.7
  Core             History (history)                                                       Enabled   10.4.7
  Field types      Image (image)                                                           Enabled   10.4.7
  Web services     JSON:API (jsonapi)                                                      Enabled   10.4.7
  Multilingual     Language (language)                                                     Enabled   10.4.7
  Core             Layout Builder (layout_builder)                                         Enabled   10.4.7
  Core             Layout Discovery (layout_discovery)                                     Enabled   10.4.7
  Field types      Link (link)                                                             Enabled   10.4.7
  Multilingual     Interface Translation (locale)                                          Enabled   10.4.7
  Core             Media (media)                                                           Enabled   10.4.7
  Core             Media Library (media_library)                                           Enabled   10.4.7
  Core             Custom Menu Links (menu_link_content)                                   Enabled   10.4.7
  Core             Menu UI (menu_ui)                                                       Enabled   10.4.7
  Core             MySQL (mysql)                                                           Enabled   10.4.7
  Core             Node (node)                                                             Enabled   10.4.7
  Field types      Options (options)                                                       Enabled   10.4.7
  Core             Internal Page Cache (page_cache)                                        Enabled   10.4.7
  Core             Path (path)                                                             Enabled   10.4.7
  Core             Path alias (path_alias)                                                 Enabled   10.4.7
  Web services     RESTful Web Services (rest)                                             Enabled   10.4.7
  Web services     Serialization (serialization)                                           Enabled   10.4.7
  Core             Shortcut (shortcut)                                                     Enabled   10.4.7
  Core             System (system)                                                         Enabled   10.4.7
  Core             Taxonomy (taxonomy)                                                     Enabled   10.4.7
  Field types      Text (text)                                                             Enabled   10.4.7
  Core             Toolbar (toolbar)                                                       Enabled   10.4.7
  Core             Update Manager (update)                                                 Enabled   10.4.7
  Core             User (user)                                                             Enabled   10.4.7
  Core             Views (views)                                                           Enabled   10.4.7
  Core             Views UI (views_ui)                                                     Enabled   10.4.7
  Administration   Admin Toolbar (admin_toolbar)                                           Enabled   3.5.3
  Administration   Admin Toolbar Extra Tools (admin_toolbar_tools)                         Enabled   3.5.3
  Views            Better Exposed Filters (better_exposed_filters)                         Enabled   7.0.5
  Blazy            Blazy (blazy)                                                           Enabled   3.0.13
  Blazy            Blazy UI (blazy_ui)                                                     Enabled   3.0.13
  Other            Block Token (block_token)                                               Enabled   8.x-1.2
  Other            The CodeMirror Editor (codemirror_editor)                               Enabled   2.0.3
  Other            Coffee (coffee)                                                         Enabled   2.0.1
  Other            Content Security Policy (csp)                                           Enabled   2.2.2
  Navigation       Easy Breadcrumb (easy_breadcrumb)                                       Enabled   2.0.9
  Field types      Entity Reference Revisions (entity_reference_revisions)                 Enabled   8.x-1.12
  User interface   External Links (extlink)                                                Enabled   2.0.4
  Fields           Field Group (field_group)                                               Enabled   8.x-3.6
  Other            Gin Toolbar (gin_toolbar)                                               Enabled   2.0.0
  Statistics       GTM (gtm)                                                               Enabled   8.x-1.9
  Other            HTTPS and WWW Redirect (httpswww)                                       Enabled   2.1.3
  Image Optimize   Image Optimize (or ImageAPI Optimize) (imageapi_optimize)               Enabled   4.0.1
  Image Optimize   ImageAPI Optimize WebP (imageapi_optimize_webp)                         Enabled   2.1.0
  Image Optimize   ImageAPI Optimize WebP Responsive (imageapi_optimize_webp_responsive)   Enabled   2.1.0
  Media            Imce File Manager (imce)                                                Enabled   3.1.3
  Other            JavaScript Cookie Library (js_cookie)                                   Enabled   1.0.1
  Layout           Layout Builder Admin Theme (layout_builder_admin_theme)                 Enabled   2.0.2
  User interface   Linkit (linkit)                                                         Enabled   7.0.4
  Other            Menu Link Attributes (menu_link_attributes)                             Enabled   8.x-1.5
  SEO              Metatag (metatag)                                                       Enabled   2.1.0
  SEO              Metatag: Open Graph (metatag_open_graph)                                Enabled   2.1.0
  SEO              Metatag: Views (metatag_views)                                          Enabled   2.1.0
